year,area_code,area,ethnic_group,number,denominator,percent,confidence
2006,E09000020,Kensington and Chelsea,Indian,"1,100","1,900",60.1,
2006,E09000021,Kingston upon Thames,Indian,"1,200","2,100",59.6,
2006,E09000022,Lambeth,Indian,"1,300","2,000",63.8,
2006,E09000023,Lewisham,Indian,"1,800","2,300",75.4,
2006,E09000024,Merton,Indian,"3,800","4,900",77,27.8
2006,E09000025,Newham,Indian,"7,800","15,100",51.7,20.1
2006,E09000026,Redbridge,Indian,"24,300","36,800",66.1,14
2006,E09000027,Richmond upon Thames,Indian,"1,800","3,400",52.8,
2006,E09000028,Southwark,Indian,"2,000","3,400",59.1,
2006,E09000029,Sutton,Indian,"1,400","2,300",61.8,
2006,E09000030,Tower Hamlets,Indian,"1,300","2,800",45.7,
2006,E09000031,Waltham Forest,Indian,"4,600","8,200",56.1,30.1
2006,E09000032,Wandsworth,Indian,"2,300","3,700",62.8,
2006,E09000033,Westminster,Indian,"3,700","6,000",62.6,32.7
2006,E13000001,Inner London,Indian,"30,400","52,700",57.8,10.9
2006,E13000002,Outer London,Indian,"203,400","290,300",70.1,4.7
2006,E12000001,North East,Indian,"6,100","8,100",75.8,15
2006,E12000002,North West,Indian,"41,800","61,100",68.4,7.1
2006,E12000003,Yorkshire and The Humber,Indian,"30,700","45,000",68.2,10.5
2006,E12000004,East Midlands,Indian,"59,800","94,100",63.6,6.3
2006,E12000005,West Midlands,Indian,"92,900","144,600",64.3,5.6
2006,E12000006,East,Indian,"33,900","44,900",75.4,9.4
2006,E12000007,London,Indian,"233,800","342,900",68.2,4.3
2006,E12000008,South East,Indian,"59,300","73,900",80.2,5.5
2006,E12000009,South West,Indian,"13,600","16,900",80.5,12.9
2006,W92000004,Wales,Indian,"4,100","6,800",60.4,18.5
2006,S92000003,Scotland,Indian,"10,200","13,200",77.3,13.1
2006,N92000002,Northern Ireland,Indian,"3,900","4,400",88.8,24.4
2006,E92000001,England,Indian,"571,900","831,500",68.8,2.3
2006,K04000001,England and Wales,Indian,"576,000","838,300",68.7,2.3
2006,K03000001,Great Britain,Indian,"586,200","851,500",68.8,2.3
2006,K02000001,United Kingdom,Indian,"590,100","855,900",69,2.3
2006,E09000001,City of London,Pakistani/Bangladeshi,,,,
2006,E09000002,Barking and Dagenham,Pakistani/Bangladeshi,"3,200","5,400",58.3,28.9
2006,E09000003,Barnet,Pakistani/Bangladeshi,"3,100","4,300",71.9,
2006,E09000004,Bexley,Pakistani/Bangladeshi,,"1,400",,
2006,E09000005,Brent,Pakistani/Bangladeshi,"9,000","16,300",55.2,25
2006,E09000006,Bromley,Pakistani/Bangladeshi,,"1,100",,
2006,E09000007,Camden,Pakistani/Bangladeshi,"4,300","11,400",37.4,22.6
2006,E09000008,Croydon,Pakistani/Bangladeshi,"2,200","6,500",33.9,
2006,E09000009,Ealing,Pakistani/Bangladeshi,"1,800","3,900",45.2,
2006,E09000010,Enfield,Pakistani/Bangladeshi,"2,500","6,500",38.4,
2006,E09000011,Greenwich,Pakistani/Bangladeshi,,"1,300",,
2006,E09000012,Hackney,Pakistani/Bangladeshi,"1,100","2,300",50.8,
2006,E09000013,Hammersmith and Fulham,Pakistani/Bangladeshi,,"1,000",,
2006,E09000014,Haringey,Pakistani/Bangladeshi,"2,100","4,500",47.8,
2006,E09000015,Harrow,Pakistani/Bangladeshi,"2,500","4,300",57.5,
2006,E09000016,Havering,Pakistani/Bangladeshi,,,,
2006,E09000017,Hillingdon,Pakistani/Bangladeshi,"1,400","2,900",49.6,
2006,E09000018,Hounslow,Pakistani/Bangladeshi,"4,800","9,700",49.1,25.8
2006,E09000019,Islington,Pakistani/Bangladeshi,"1,000","4,200",24.5,
2006,E09000020,Kensington and Chelsea,Pakistani/Bangladeshi,"1,600","2,200",75.6,
2006,E09000021,Kingston upon Thames,Pakistani/Bangladeshi,"1,900","3,300",57.9,
2006,E09000022,Lambeth,Pakistani/Bangladeshi,"2,200","4,000",53.9,
2006,E09000023,Lewisham,Pakistani/Bangladeshi,"1,800","3,500",50.6,
2006,E09000024,Merton,Pakistani/Bangladeshi,"1,400","4,000",36,
2006,E09000025,Newham,Pakistani/Bangladeshi,"16,200","34,500",46.8,14.2
2006,E09000026,Redbridge,Pakistani/Bangladeshi,"7,100","15,000",47.5,23.6
2006,E09000027,Richmond upon Thames,Pakistani/Bangladeshi,,,,
2006,E09000028,Southwark,Pakistani/Bangladeshi,"3,300","6,300",52.3,
2006,E09000029,Sutton,Pakistani/Bangladeshi,"1,900","2,700",70.3,
2006,E09000030,Tower Hamlets,Pakistani/Bangladeshi,"16,900","51,300",32.9,9.8
2006,E09000031,Waltham Forest,Pakistani/Bangladeshi,"6,900","15,600",44.5,21.6
2006,E09000032,Wandsworth,Pakistani/Bangladeshi,"2,300","7,500",30.4,
2006,E09000033,Westminster,Pakistani/Bangladeshi,"3,100","7,600",40.5,30.4
2006,E13000001,Inner London,Pakistani/Bangladeshi,"55,900","140,300",39.8,6.6
2006,E13000002,Outer London,Pakistani/Bangladeshi,"51,300","104,400",49.2,8.4
2006,E12000001,North East,Pakistani/Bangladeshi,"6,400","13,000",49.2,14
2006,E12000002,North West,Pakistani/Bangladeshi,"49,400","110,900",44.5,6
2006,E12000003,Yorkshire and The Humber,Pakistani/Bangladeshi,"44,400","107,400",41.4,7.4
2006,E12000004,East Midlands,Pakistani/Bangladeshi,"11,200","24,200",46.4,12.8
2006,E12000005,West Midlands,Pakistani/Bangladeshi,"53,500","136,100",39.3,6.7
2006,E12000006,East,Pakistani/Bangladeshi,"21,000","47,000",44.8,9.3
2006,E12000007,London,Pakistani/Bangladeshi,"107,200","244,700",43.8,5.2
2006,E12000008,South East,Pakistani/Bangladeshi,"30,500","51,600",59.1,7.9
2006,E12000009,South West,Pakistani/Bangladeshi,"4,400","6,400",68.6,26.7
2006,W92000004,Wales,Pakistani/Bangladeshi,"3,900","9,400",41.1,17.7
2006,S92000003,Scotland,Pakistani/Bangladeshi,"15,300","30,000",51,12.5
2006,N92000002,Northern Ireland,Pakistani/Bangladeshi,800,800,100,
2006,E92000001,England,Pakistani/Bangladeshi,"328,100","741,100",44.3,2.6
2006,K04000001,England and Wales,Pakistani/Bangladeshi,"332,000","750,500",44.2,2.6
2006,K03000001,Great Britain,Pakistani/Bangladeshi,"347,300","780,500",44.5,2.5
2006,K02000001,United Kingdom,Pakistani/Bangladeshi,"348,100","781,300",44.6,2.5
2006,E09000001,City of London,Black,,,,
2006,E09000002,Barking and Dagenham,Black,"8,400","11,800",70.9,17.6
2006,E09000003,Barnet,Black,"4,500","8,300",54.8,35.4
2006,E09000004,Bexley,Black,"7,600","8,300",91,15.2
2006,E09000005,Brent,Black,"14,600","31,400",46.6,17.4
2006,E09000006,Bromley,Black,"4,100","6,300",64.6,38.2
2006,E09000007,Camden,Black,"5,300","11,800",45,22.7
2006,E09000008,Croydon,Black,"20,000","28,300",70.9,15.8
2006,E09000009,Ealing,Black,"13,100","26,300",49.5,17.4
2006,E09000010,Enfield,Black,"25,000","31,400",79.6,13
2006,E09000011,Greenwich,Black,"13,700","19,300",71,16.8
2006,E09000012,Hackney,Black,"16,500","32,900",50,12.9
2006,E09000013,Hammersmith and Fulham,Black,"6,200","12,200",50.6,19.5
2006,E09000014,Haringey,Black,"16,500","26,800",61.7,15.1
2006,E09000015,Harrow,Black,"7,700","12,200",62.8,23.4
2006,E09000016,Havering,Black,"3,300","4,600",72,35.9
2006,E09000017,Hillingdon,Black,"8,600","14,000",61.6,23.2
2006,E09000018,Hounslow,Black,"3,200","5,800",56.3,32
2006,E09000019,Islington,Black,"8,400","17,600",47.7,17.2
2006,E09000020,Kensington and Chelsea,Black,"3,100","4,900",63.3,33.4
2006,E09000021,Kingston upon Thames,Black,"1,100","2,100",52.4,
2006,E09000022,Lambeth,Black,"21,500","44,900",48,14
2006,E09000023,Lewisham,Black,"26,200","41,000",63.9,12.8
2006,E09000024,Merton,Black,"7,400","10,700",69.4,20
2006,E09000025,Newham,Black,"16,400","29,800",55.1,14.2
2006,E09000026,Redbridge,Black,"5,300","10,500",50.8,27.4
2006,E09000027,Richmond upon Thames,Black,700,900,81.7,
2006,E09000028,Southwark,Black,"29,200","47,300",61.6,12.5
2006,E09000029,Sutton,Black,"2,600","4,200",61.8,38.8
2006,E09000030,Tower Hamlets,Black,"4,500","10,000",44.6,23.5
2006,E09000031,Waltham Forest,Black,"16,100","23,400",69.1,15.8
2006,E09000032,Wandsworth,Black,"10,800","17,200",62.4,24
2006,E09000033,Westminster,Black,"6,700","14,300",46.9,21.2
2006,E13000001,Inner London,Black,"171,200","311,500",55,4.6
2006,E13000002,Outer London,Black,"167,100","259,700",64.3,5
2006,E12000001,North East,Black,"2,500","5,200",48.3,23.9
2006,E12000002,North West,Black,"27,400","48,000",57.1,9.9
2006,E12000003,Yorkshire and The Humber,Black,"25,000","37,200",67.1,11.8
2006,E12000004,East Midlands,Black,"26,500","40,000",66.3,10.1
2006,E12000005,West Midlands,Black,"58,100","93,300",62.3,7.5
2006,E12000006,East,Black,"37,300","46,700",79.8,7.7
2006,E12000007,London,Black,"338,300","571,200",59.2,3.4
2006,E12000008,South East,Black,"42,500","55,400",76.8,7.5
2006,E12000009,South West,Black,"15,000","22,200",67.3,14.6
2006,W92000004,Wales,Black,"4,400","7,700",57.9,18.8
2006,S92000003,Scotland,Black,"6,400","9,500",67.5,20.3
2006,N92000002,Northern Ireland,Black,700,700,100,
2006,E92000001,England,Black,"572,500","919,200",62.3,2.5
2006,K04000001,England and Wales,Black,"577,000","926,800",62.3,2.4
2006,K03000001,Great Britain,Black,"583,400","936,300",62.3,2.4
2006,K02000001,United Kingdom,Black,"584,100","937,000",62.3,2.4
2006,E09000001,City of London,Other,,,,
2006,E09000002,Barking and Dagenham,Other,"4,800","8,600",55.5,23.2
2006,E09000003,Barnet,Other,"11,800","22,300",52.7,20.8
2006,E09000004,Bexley,Other,"4,200","6,500",64.6,29.6
2006,E09000005,Brent,Other,"18,100","31,300",57.8,17.4
2006,E09000006,Bromley,Other,"4,500","6,000",74.4,31.9
2006,E09000007,Camden,Other,"11,800","19,900",59.2,17.1
2006,E09000008,Croydon,Other,"12,900","17,400",73.9,19.4
2006,E09000009,Ealing,Other,"22,000","34,900",63,14.7
2006,E09000010,Enfield,Other,"8,600","15,100",56.9,23.7
2006,E09000011,Greenwich,Other,"7,100","11,600",61.3,23.6
2006,E09000012,Hackney,Other,"7,300","21,500",33.7,15.3
2006,E09000013,Hammersmith and Fulham,Other,"8,000","14,500",55,19
2006,E09000014,Haringey,Other,"11,900","24,100",49.5,16.3
2006,E09000015,Harrow,Other,"9,100","16,600",54.8,20.8
2006,E09000016,Havering,Other,"1,100","1,500",74.9,
2006,E09000017,Hillingdon,Other,"3,900","9,200",42.4,28.4
2006,E09000018,Hounslow,Other,"11,500","15,800",72.8,17.2
2006,E09000019,Islington,Other,"5,100","12,000",42.4,21
2006,E09000020,Kensington and Chelsea,Other,"9,100","20,600",44.2,15.9
2006,E09000021,Kingston upon Thames,Other,"7,000","11,700",59.7,19.6
2006,E09000022,Lambeth,Other,"4,700","11,300",41.3,28.3
2006,E09000023,Lewisham,Other,"9,700","15,700",61.9,21.3
2006,E09000024,Merton,Other,"5,600","12,900",43.6,20.2
2006,E09000025,Newham,Other,"19,100","35,100",54.4,13.4
2006,E09000026,Redbridge,Other,"9,300","17,000",54.6,21.8
2006,E09000027,Richmond upon Thames,Other,"2,600","5,400",48.4,29.8
2006,E09000028,Southwark,Other,"9,300","19,900",46.8,20.5
2006,E09000029,Sutton,Other,"3,400","5,500",61.9,35.4
2006,E09000030,Tower Hamlets,Other,"12,200","21,500",56.7,16.5
2006,E09000031,Waltham Forest,Other,"7,200","10,100",70.7,23.8
2006,E09000032,Wandsworth,Other,"9,700","15,900",60.7,24.9
2006,E09000033,Westminster,Other,"15,800","34,900",45.4,13.5
2006,E13000001,Inner London,Other,"133,600","266,900",50,4.9
2006,E13000002,Outer London,Other,"154,600","259,500",59.6,5.1
2006,E12000001,North East,Other,"9,300","19,000",49.1,12.7
2006,E12000002,North West,Other,"46,200","79,200",58.3,7.4
2006,E12000003,Yorkshire and The Humber,Other,"30,800","54,000",57,9.9
2006,E12000004,East Midlands,Other,"26,400","48,700",54.2,10.2
2006,E12000005,West Midlands,Other,"44,500","77,200",57.6,8.3
2006,E12000006,East,Other,"50,300","76,800",65.6,8.2
2006,E12000007,London,Other,"288,200","526,500",54.7,3.6
2006,E12000008,South East,Other,"74,500","116,800",63.8,6.1
2006,E12000009,South West,Other,"29,600","41,600",71.2,9.3
2006,W92000004,Wales,Other,"14,200","26,400",53.8,9.6
2006,S92000003,Scotland,Other,"17,500","31,600",55.3,10.2
2006,N92000002,Northern Ireland,Other,"3,800","4,900",77.7,28.8
2006,E92000001,England,Other,"599,800","1,039,700",57.7,2.3
2006,K04000001,England and Wales,Other,"614,000","1,066,100",57.6,2.2
2006,K03000001,Great Britain,Other,"631,500","1,097,700",57.5,2.2
2006,K02000001,United Kingdom,Other,"635,300","1,102,600",57.6,2.2
2007,E09000001,City of London,White,"2,400","2,700",86.2,
2007,E09000002,Barking and Dagenham,White,"45,900","70,400",65.2,7.6
2007,E09000003,Barnet,White,"111,200","154,600",71.9,6.7
2007,E09000004,Bexley,White,"89,900","120,200",74.8,6.1
2007,E09000005,Brent,White,"62,600","80,100",78.2,9.1
2007,E09000006,Bromley,White,"138,300","173,100",79.9,5.5
2007,E09000007,Camden,White,"79,400","108,400",73.3,5.9
2007,E09000008,Croydon,White,"116,400","156,300",74.5,6.9
2007,E09000009,Ealing,White,"73,800","102,500",72,8.2
2007,E09000010,Enfield,White,"90,100","128,100",70.3,7.4
2007,E09000011,Greenwich,White,"77,500","109,700",70.6,6.9
2007,E09000012,Hackney,White,"59,600","83,100",71.8,7.5
2007,E09000013,Hammersmith and Fulham,White,"72,500","98,300",73.8,6.9
2007,E09000014,Haringey,White,"73,000","96,600",75.6,7.3
2007,E09000015,Harrow,White,"45,200","61,600",73.3,9.2
2007,E09000016,Havering,White,"100,600","131,600",76.4,5.7
2007,E09000017,Hillingdon,White,"78,600","116,700",67.4,7.6
2007,E09000018,Hounslow,White,"70,300","91,800",76.6,7.3
2007,E09000019,Islington,White,"70,300","95,400",73.6,6.5
2007,E09000020,Kensington and Chelsea,White,"63,800","91,300",69.8,7.2
2007,E09000021,Kingston upon Thames,White,"63,300","82,200",77,6.6
2007,E09000022,Lambeth,White,"99,500","125,000",79.6,6.3
2007,E09000023,Lewisham,White,"75,800","109,300",69.4,7.5
2007,E09000024,Merton,White,"72,800","89,700",81.2,6.2
2007,E09000025,Newham,White,"37,400","56,600",66.2,10.3
2007,E09000026,Redbridge,White,"61,400","82,400",74.5,8.6
2007,E09000027,Richmond upon Thames,White,"86,400","111,500",77.5,5.7
2007,E09000028,Southwark,White,"84,200","120,800",69.7,7.5
2007,E09000029,Sutton,White,"73,200","96,700",75.6,7
2007,E09000030,Tower Hamlets,White,"49,100","72,800",67.5,8.8
2007,E09000031,Waltham Forest,White,"62,700","86,700",72.3,8.3
2007,E09000032,Wandsworth,White,"136,500","176,400",77.4,6.7
2007,E09000033,Westminster,White,"72,000","104,200",69.1,6.7
2007,E13000001,Inner London,White,"975,700","1,341,000",72.8,2
2007,E13000002,Outer London,White,"1,520,000","2,046,000",74.3,1.6
2007,E12000001,North East,White,"1,116,700","1,593,000",70.1,1.3
2007,E12000002,North West,White,"2,957,100","4,116,400",71.8,0.9
2007,E12000003,Yorkshire and The Humber,White,"2,219,000","3,035,200",73.1,1.1
2007,E12000004,East Midlands,White,"1,949,900","2,608,200",74.8,1.3
2007,E12000005,West Midlands,White,"2,182,000","2,975,200",73.3,1.2
2007,E12000006,East,White,"2,517,600","3,318,200",75.9,1.2
2007,E12000007,London,White,"2,495,600","3,387,000",73.7,1.2
2007,E12000008,South East,White,"3,824,800","4,948,500",77.3,0.9
2007,E12000009,South West,White,"2,388,700","3,127,100",76.4,1.1
2007,W92000004,Wales,White,"1,280,200","1,838,200",69.6,0.9
2007,S92000003,Scotland,White,"2,415,800","3,258,700",74.1,0.8
2007,N92000002,Northern Ireland,White,"763,600","1,116,900",68.4,2.1
2007,E92000001,England,White,"21,651,400","29,108,700",74.4,0.4
2007,K04000001,England and Wales,White,"22,931,600","30,946,900",74.1,0.3
2007,K03000001,Great Britain,White,"25,347,400","34,205,600",74.1,0.3
2007,K02000001,United Kingdom,White,"26,111,000","35,322,600",73.9,0.3
2007,E09000001,City of London,Minority,,,,
2007,E09000002,Barking and Dagenham,Minority,"24,000","35,500",67.7,10.8
2007,E09000003,Barnet,Minority,"39,500","61,900",63.9,11.5
2007,E09000004,Bexley,Minority,"15,000","21,500",69.8,15.3
2007,E09000005,Brent,Minority,"69,700","113,200",61.6,9
2007,E09000006,Bromley,Minority,"14,600","19,200",76.1,18
2007,E09000007,Camden,Minority,"22,300","43,500",51.2,10.6
2007,E09000008,Croydon,Minority,"49,700","72,700",68.4,10.8
2007,E09000009,Ealing,Minority,"75,200","117,000",64.2,8.3
2007,E09000010,Enfield,Minority,"33,200","59,600",55.7,11.8
2007,E09000011,Greenwich,Minority,"30,100","49,000",61.5,11.1
2007,E09000012,Hackney,Minority,"38,700","75,200",51.4,8.7
2007,E09000013,Hammersmith and Fulham,Minority,"18,800","31,800",59.2,13.4
2007,E09000014,Haringey,Minority,"34,300","69,200",49.6,10.1
2007,E09000015,Harrow,Minority,"64,000","87,100",73.5,7.8
2007,E09000016,Havering,Minority,"10,400","13,300",78.1,17.8
2007,E09000017,Hillingdon,Minority,"31,400","52,100",60.3,12.3
2007,E09000018,Hounslow,Minority,"42,900","70,500",60.8,9.8
2007,E09000019,Islington,Minority,"23,500","41,800",56.1,11
2007,E09000020,Kensington and Chelsea,Minority,"13,600","25,000",54.4,14.8
2007,E09000021,Kingston upon Thames,Minority,"14,000","23,900",58.5,14.5
2007,E09000022,Lambeth,Minority,"41,200","82,200",50.1,9.6
2007,E09000023,Lewisham,Minority,"45,100","71,500",63.1,9.7
2007,E09000024,Merton,Minority,"30,900","43,600",70.8,10.3
2007,E09000025,Newham,Minority,"66,600","125,100",53.3,7.4
2007,E09000026,Redbridge,Minority,"51,000","87,600",58.2,9.4
2007,E09000027,Richmond upon Thames,Minority,"8,700","11,900",73.5,18.6
2007,E09000028,Southwark,Minority,"43,000","75,000",57.3,10.3
2007,E09000029,Sutton,Minority,"16,400","22,300",73.5,15
2007,E09000030,Tower Hamlets,Minority,"40,200","88,300",45.6,8.6
2007,E09000031,Waltham Forest,Minority,"43,800","73,400",59.6,10
2007,E09000032,Wandsworth,Minority,"23,600","40,200",58.9,16.5
2007,E09000033,Westminster,Minority,"32,700","62,400",52.3,9.5
2007,E13000001,Inner London,Minority,"444,300","831,900",53.4,2.8
2007,E13000002,Outer London,Minority,"664,600","1,035,400",64.2,2.6
2007,E12000001,North East,Minority,"31,500","57,000",55.3,7.5
2007,E12000002,North West,Minority,"182,300","338,600",53.8,3.5
2007,E12000003,Yorkshire and The Humber,Minority,"148,100","283,300",52.3,4.6
2007,E12000004,East Midlands,Minority,"141,100","227,800",61.9,4.3
2007,E12000005,West Midlands,Minority,"266,200","487,500",54.6,3.4
2007,E12000006,East,Minority,"179,900","265,500",67.8,4
2007,E12000007,London,Minority,"1,108,800","1,867,400",59.4,1.9
2007,E12000008,South East,Minority,"252,500","362,700",69.6,3.1
2007,E12000009,South West,Minority,"75,000","109,800",68.3,6.1
2007,W92000004,Wales,Minority,"36,700","64,600",56.8,6.3
2007,S92000003,Scotland,Minority,"64,900","98,500",65.9,5.7
2007,N92000002,Northern Ireland,Minority,"13,700","16,700",82.2,14.9
2007,E92000001,England,Minority,"2,385,300","3,999,500",59.6,1.2
2007,K04000001,England and Wales,Minority,"2,422,000","4,064,100",59.6,1.1
2007,K03000001,Great Britain,Minority,"2,486,900","4,162,600",59.7,1.1
2007,K02000001,United Kingdom,Minority,"2,500,600","4,179,200",59.8,1.1
2007,E09000001,City of London,Mixed,,,,
2007,E09000002,Barking and Dagenham,Mixed,"1,200","1,700",70.1,
2007,E09000003,Barnet,Mixed,"3,200","4,500",72.2,
2007,E09000004,Bexley,Mixed,"1,300","2,100",62.2,
2007,E09000005,Brent,Mixed,"4,300","4,900",88.6,29.7
2007,E09000006,Bromley,Mixed,"2,300","4,000",58.6,
2007,E09000007,Camden,Mixed,"1,000","2,600",39.8,
2007,E09000008,Croydon,Mixed,"2,000","3,300",59.4,
2007,E09000009,Ealing,Mixed,"1,800","3,500",50.9,
2007,E09000010,Enfield,Mixed,,"1,300",,
2007,E09000011,Greenwich,Mixed,"2,600","3,500",75.5,38.5
2007,E09000012,Hackney,Mixed,"2,500","4,600",53.4,
2007,E09000013,Hammersmith and Fulham,Mixed,"3,300","5,200",63.2,35.2
2007,E09000014,Haringey,Mixed,"2,100","2,800",74.9,
2007,E09000015,Harrow,Mixed,"1,300","2,400",52.8,
2007,E09000016,Havering,Mixed,,,,
2007,E09000017,Hillingdon,Mixed,"1,300","3,900",32.5,
2007,E09000018,Hounslow,Mixed,"2,000","3,100",64.7,
2007,E09000019,Islington,Mixed,"2,800","4,800",57.6,33.4
2007,E09000020,Kensington and Chelsea,Mixed,"1,700","2,400",68.8,
2007,E09000021,Kingston upon Thames,Mixed,"1,500","2,800",54.5,
2007,E09000022,Lambeth,Mixed,"2,600","6,100",43.5,
2007,E09000023,Lewisham,Mixed,"4,000","6,000",65.6,33.7
2007,E09000024,Merton,Mixed,"2,600","3,300",80.5,34
2007,E09000025,Newham,Mixed,"2,200","7,100",31.6,
2007,E09000026,Redbridge,Mixed,"1,000","2,400",42.7,
2007,E09000027,Richmond upon Thames,Mixed,"1,300","1,300",100,
2007,E09000028,Southwark,Mixed,"3,000","4,900",61.1,
2007,E09000029,Sutton,Mixed,"1,600","1,600",100,
2007,E09000030,Tower Hamlets,Mixed,"1,500","1,800",82.9,
2007,E09000031,Waltham Forest,Mixed,800,"1,900",42.4,
2007,E09000032,Wandsworth,Mixed,"2,200","3,800",57,
2007,E09000033,Westminster,Mixed,"2,100","2,900",72.1,
2007,E13000001,Inner London,Mixed,"30,900","55,000",56.2,11.1
2007,E13000002,Outer London,Mixed,"33,000","51,900",63.5,11.4
2007,E12000001,North East,Mixed,"4,700","7,000",67,19.5
2007,E12000002,North West,Mixed,"14,600","25,100",58.3,13.1
2007,E12000003,Yorkshire and The Humber,Mixed,"13,900","21,300",65.6,15.3
2007,E12000004,East Midlands,Mixed,"10,300","14,100",72.5,17.4
2007,E12000005,West Midlands,Mixed,"13,600","24,100",56.3,15.4
2007,E12000006,East,Mixed,"20,500","27,800",73.9,13.8
2007,E12000007,London,Mixed,"63,900","106,900",59.7,7.9
2007,E12000008,South East,Mixed,"28,300","42,000",67.5,10.3
2007,E12000009,South West,Mixed,"9,400","13,700",68.6,16.5
2007,W92000004,Wales,Mixed,"5,300","10,100",52.5,15.9
2007,S92000003,Scotland,Mixed,"8,000","11,300",70.6,16.2
2007,N92000002,Northern Ireland,Mixed,"1,300","2,000",65.1,
2007,E92000001,England,Mixed,"179,200","282,000",63.6,4.3
2007,K04000001,England and Wales,Mixed,"184,500","292,100",63.2,4.2
2007,K03000001,Great Britain,Mixed,"192,500","303,400",63.4,4
2007,K02000001,United Kingdom,Mixed,"193,800","305,400",63.5,4
2007,E09000001,City of London,Indian,,,,
2007,E09000002,Barking and Dagenham,Indian,"2,400","4,800",49.5,33
2007,E09000003,Barnet,Indian,"15,500","22,200",69.8,18.3
2007,E09000004,Bexley,Indian,"2,600","3,400",78.8,35.1
2007,E09000005,Brent,Indian,"20,700","30,800",67,17
2007,E09000006,Bromley,Indian,"2,900","3,500",80.7,
2007,E09000007,Camden,Indian,"2,500","3,100",78.6,36.6
2007,E09000008,Croydon,Indian,"10,100","14,500",69.5,23.8
2007,E09000009,Ealing,Indian,"28,800","43,400",66.4,13.4
2007,E09000010,Enfield,Indian,"4,400","6,300",70.5,34.2
2007,E09000011,Greenwich,Indian,"2,700","4,600",59.6,38
2007,E09000012,Hackney,Indian,"2,700","4,300",63.6,36.1
2007,E09000013,Hammersmith and Fulham,Indian,"1,700","1,700",100,
2007,E09000014,Haringey,Indian,"1,600","2,600",60.9,
2007,E09000015,Harrow,Indian,"41,300","50,000",82.6,8.9
2007,E09000016,Havering,Indian,"2,400","2,900",84.6,
2007,E09000017,Hillingdon,Indian,"12,800","19,300",66.5,19.4
2007,E09000018,Hounslow,Indian,"21,700","31,600",68.5,14
2007,E09000019,Islington,Indian,"1,500","1,600",89.5,
2007,E09000020,Kensington and Chelsea,Indian,,800,,
2007,E09000021,Kingston upon Thames,Indian,"1,800","2,500",71.6,
2007,E09000022,Lambeth,Indian,"1,500","2,800",55.2,
2007,E09000023,Lewisham,Indian,"2,400","2,400",100,
2007,E09000024,Merton,Indian,"3,900","5,600",69.4,29.1
2007,E09000025,Newham,Indian,"9,200","18,900",48.8,18.6
2007,E09000026,Redbridge,Indian,"22,900","37,300",61.4,14.3
2007,E09000027,Richmond upon Thames,Indian,"2,100","2,700",76.6,37.8
2007,E09000028,Southwark,Indian,"2,900","3,500",83.6,
2007,E09000029,Sutton,Indian,"3,200","3,200",100,
2007,E09000030,Tower Hamlets,Indian,"2,500","3,700",68.4,
2007,E09000031,Waltham Forest,Indian,"2,700","3,400",77.9,
2007,E09000032,Wandsworth,Indian,"1,900","3,800",49.4,
2007,E09000033,Westminster,Indian,"5,000","6,300",80.2,24.2
2007,E13000001,Inner London,Indian,"36,700","56,200",65.3,10.4
2007,E13000002,Outer London,Indian,"204,700","291,900",70.1,4.7
2007,E12000001,North East,Indian,"7,600","11,300",67.1,15.5
2007,E12000002,North West,Indian,"42,700","61,200",69.8,6.9
2007,E12000003,Yorkshire and The Humber,Indian,"28,100","42,300",66.5,11
2007,E12000004,East Midlands,Indian,"67,500","105,500",64,6.2
2007,E12000005,West Midlands,Indian,"91,500","137,700",66.4,5.7
2007,E12000006,East,Indian,"32,900","43,800",75.2,9.5
2007,E12000007,London,Indian,"241,500","348,100",69.4,4.3
2007,E12000008,South East,Indian,"58,800","77,000",76.3,5.7
2007,E12000009,South West,Indian,"15,800","19,000",83.3,11.5
2007,W92000004,Wales,Indian,"4,800","7,200",67.2,17.9
2007,S92000003,Scotland,Indian,"12,800","17,200",74.2,12.7
2007,N92000002,Northern Ireland,Indian,"3,100","3,300",93.6,21.9
2007,E92000001,England,Indian,"586,400","845,900",69.3,2.3
2007,K04000001,England and Wales,Indian,"591,200","853,100",69.3,2.3
2007,K03000001,Great Britain,Indian,"604,000","870,300",69.4,2.2
2007,K02000001,United Kingdom,Indian,"607,100","873,600",69.5,2.2
2007,E09000001,City of London,Pakistani/Bangladeshi,,,,
2007,E09000002,Barking and Dagenham,Pakistani/Bangladeshi,"3,300","4,800",69.1,29.8
2007,E09000003,Barnet,Pakistani/Bangladeshi,"2,800","3,100",90,
2007,E09000004,Bexley,Pakistani/Bangladeshi,,700,,
2007,E09000005,Brent,Pakistani/Bangladeshi,"3,700","11,700",31.3,
2007,E09000006,Bromley,Pakistani/Bangladeshi,,,,
2007,E09000007,Camden,Pakistani/Bangladeshi,"3,800","6,400",59.2,28.3
2007,E09000008,Croydon,Pakistani/Bangladeshi,"3,800","8,700",43.2,33.5
2007,E09000009,Ealing,Pakistani/Bangladeshi,"6,400","11,700",55,27.7
2007,E09000010,Enfield,Pakistani/Bangladeshi,"3,700","8,200",45.5,32.9
2007,E09000011,Greenwich,Pakistani/Bangladeshi,,"1,500",,
2007,E09000012,Hackney,Pakistani/Bangladeshi,"2,500","5,500",44.4,
2007,E09000013,Hammersmith and Fulham,Pakistani/Bangladeshi,600,"1,000",62.6,
